LineCount,Group,DuplicateFile,StartLine,EndLine
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ArrayOfInt.cs,31,50
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ArrayOfDouble.cs,31,50
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ArrayOfBoolean.cs,31,50
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ArrayOfFloat.cs,31,50
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ArrayOfLong.cs,31,50
10,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.DeviceCommunication\PlankResponseProcessor.cs,22,43
10,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Request\CommandRequestProcessor.cs,21,42
10,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,281,310
10,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,235,264
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Store\PutObject.cs,35,54
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelData.cs,55,74
10,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\HelpPageAreaRegistration.cs,6,23
10,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\HelpPageAreaRegistration.cs,6,23
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelMetadataRecord.cs,153,172
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelDataChange.cs,70,89
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelRangeInfo.cs,45,64
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDeleteRange.cs,45,64
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGetRange.cs,45,64
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Discovery\GetResources.cs,29,48
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\DataArray\GetDataArray.cs,29,48
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Store\DeleteObject.cs,29,48
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Store\GetObject.cs,29,48
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelStreamingStop.cs,29,48
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelMetadata.cs,82,101
10,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelStreamingStart.cs,47,66
11,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\LogarithmicGrid.js,12,26
11,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5341,5355
11,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5271,5285
11,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,215,232
11,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,261,278
11,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg.ui\LogRangeSelection.js,5,17
11,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,995,1007
12,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Controllers\ManageController.cs,25,49
12,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Controllers\AccountController.cs,27,51
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectPut.cs,52,76
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\ObjectFragment.cs,52,76
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\Object\DataObject.cs,44,68
12,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.ListenerService\SubscriptionListener.cs,28,42
12,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.PublishService\PublishListener.cs,40,54
12,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctEvents.js,2,14
12,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2393,2405
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDeleteRange.cs,45,69
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelRangeInfo.cs,45,69
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGetRange.cs,45,69
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\DataValue.cs,30,54
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\AnyArray.cs,33,57
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\IndexValue.cs,29,53
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\StreamingStartIndex.cs,31,55
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\DataArray\GetDataArray.cs,27,51
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Store\GetObject.cs,27,51
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Discovery\GetResources.cs,27,51
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\TextSample.cs,8,34
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\TextSample.cs,8,34
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\ImageSample.cs,8,38
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\ImageSample.cs,8,38
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Models\AccountViewModels.cs,72,86
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Models\AccountViewModels.cs,94,108
13,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,723,736
13,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\platform.js,1,14
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\InvalidSample.cs,8,34
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\InvalidSample.cs,8,34
13,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,282,306
13,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,352,373
14,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\ModelDescriptions\ModelNameHelper.cs,8,33
14,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\ModelDescriptions\ModelNameHelper.cs,8,33
14,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelDataChange.cs,61,89
14,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelRangeInfo.cs,36,64
15,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5331,5348
15,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\TangentialGrid.js,4,21
16,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\WellCommandProcessor.cs,124,159
16,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\WellEvtDataProcessor.cs,101,141
17,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1608,1626
17,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctColor.js,2,20
17,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\ApiDescriptionExtensions.cs,8,36
17,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\ApiDescriptionExtensions.cs,8,36
19,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\EventDataBase.cs,11,47
19,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\CommandBase.cs,12,49
20,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGet.cs,28,65
20,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDelete.cs,28,65
21,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\StoreNotification\ChangeNotification.cs,20,40
